level,subject,question,answer
Year 6 Card 5,E,"The wind howled" is what technique?,Personification
Year 6 Card 5,H,What was "Rationing"?,Limiting food
Year 6 Card 5,G,What is "Erosion"?,Wearing away land
Year 6 Card 5,C,Why use a strong password?,To protect data
Year 6 Card 6,M,What is a prime number?,Divides by 1 and self
Year 6 Card 6,S,What does a switch do in a circuit?,Breaks the loop
Year 6 Card 6,E,Correct: "we went to london".,We went to London
Year 6 Card 6,H,When did WWII end?,1945
Year 6 Card 6,G,Highest mountain in the UK?,Ben Nevis
Year 6 Card 6,C,Is a keyboard input or output?,Input
Year 6 Card 7,M,Simplify 50% to a decimal.,0.5
Year 6 Card 7,S,What is refraction?,Bending of light
Year 6 Card 7,E,What is a prefix?,Letters at start
Year 6 Card 7,H,Which Queen reigned 1837-1901?,Victoria
Year 6 Card 7,G,Name the largest Ocean.,Pacific
Year 6 Card 7,C,What is a "bug" in code?,An error
Year 6 Card 8,M,Value of Pi (2 decimal places)?,3.14
Year 6 Card 8,S,Name a conductor of electricity.,Copper
Year 6 Card 8,E,What is an antonym?,Opposite meaning
Year 6 Card 8,H,Who was PM during WWII?,Winston Churchill
Year 6 Card 8,G,What is the Prime Meridian?,0 degrees Longitude
Year 6 Card 8,C,What is the "Cloud"?,Internet storage
Year 6 Card 9,M,What is 10 cubed?,1000
Year 6 Card 9,S,What are fossils?,Old life remains
Year 6 Card 9,E,Correct: "Its raining".,It's raining
Year 6 Card 9,H,What is a Census?,Population count
Year 6 Card 9,G,Continent containing Amazon?,South America
Year 6 Card 9,C,What is a URL?,Web address
Year 6 Card 10,M,Formula for area of rectangle?,Length x Width
Year 6 Card 10,S,What organ pumps blood?,Heart
Year 6 Card 10,E,What is a stanza?,Verse in a poem
Year 6 Card 10,H,What year did Titanic sink?,1912
Year 6 Card 10,G,Name a renewable energy source.,Wind
Year 6 Card 10,C,What does CPU stand for?,Central Processing Unit
Year 6 Card 11,M,What is 7 x 8?,56
Year 6 Card 11,S,Name a planet in our system.,Mars
Year 6 Card 11,E,What is alliteration?,Same start sounds
Year 6 Card 11,H,Who were the Axis powers?,Germany Japan Italy
Year 6 Card 11,G,What is a biome?,Large eco-region
Year 6 Card 11,C,What is an algorithm?,Step by step rules
Year 6 Card 12,M,Square root of 81?,9
Year 6 Card 12,S,Solid Liquid and...?,Gas
Year 6 Card 12,E,What is hyperbole?,Exaggeration
Year 6 Card 12,H,When was the Battle of Hastings?,1066
Year 6 Card 12,G,What is the water cycle?,Rain evaporation loop
Year 6 Card 12,C,What is a pixel?,Dot on a screen
